recipe_id,title,recipe_name,user_id,user_name,views,recommendations,scraps,cooking_method,situation,ingredients,category,description,ingredients_detail,servings,difficulty,cooking_time,registered_date,image_url,original_recipe_id,cooking_time_minutes,difficulty_level,popularity_score,category_encoded
17,맛있는 닭고기 요리 18,맛있는 닭고기 요리 18,user_67,요리사31,7002,3761,21,찌기,간편식,"닭고기, 양파, 마늘",메인반찬,맛있는 닭고기 요리 18 레시피,닭고기 300g,2인분,중급,60분,2025-10-05,https://example.com/recipe_1000017.jpg,1000017,60,2,0.2999080191012692,1
18,맛있는 두부 요리 19,맛있는 두부 요리 19,user_57,요리사82,17127,4026,379,볶기,일상,"두부, 양파, 마늘",찌개,맛있는 두부 요리 19 레시피,두부 300g,2인분,중급,10분,2025-09-07,https://example.com/recipe_1000018.jpg,1000018,10,2,0.48876412748142173,5
19,맛있는 닭고기 요리 20,맛있는 닭고기 요리 20,user_88,요리사61,42573,3846,499,볶기,손님접대,"닭고기, 양파, 마늘",국/탕,맛있는 닭고기 요리 20 레시피,닭고기 300g,4인분,중급,10분,2025-09-09,https://example.com/recipe_1000019.jpg,1000019,10,2,0.7565346973310265,0
20,맛있는 계란 요리 21,맛있는 계란 요리 21,user_63,요리사98,19136,3319,517,볶기,일상,"계란, 양파, 마늘",국/탕,맛있는 계란 요리 21 레시피,계란 300g,3인분,초급,10분,2025-07-05,https://example.com/recipe_1000020.jpg,1000020,10,1,0.49406858803224324,0
21,맛있는 생선 요리 22,맛있는 생선 요리 22,user_1,요리사98,6767,1062,618,찌기,손님접대,"생선, 양파, 마늘",볶음,맛있는 생선 요리 22 레시피,생선 300g,3인분,초급,60분,2025-01-17,https://example.com/recipe_1000021.jpg,1000021,60,1,0.25513673934903636,2
22,맛있는 소고기 요리 23,맛있는 소고기 요리 23,user_80,요리사20,45574,1571,16,굽기,간편식,"소고기, 양파, 마늘",샐러드,맛있는 소고기 요리 23 레시피,소고기 300g,2인분,고급,20분,2025-09-05,https://example.com/recipe_1000022.jpg,1000022,20,3,0.5533582075046657,3
23,맛있는 소고기 요리 24,맛있는 소고기 요리 24,user_9,요리사85,2260,3801,435,찌기,간편식,"소고기, 양파, 마늘",국/탕,맛있는 소고기 요리 24 레시피,소고기 300g,4인분,고급,20분,2025-08-16,https://example.com/recipe_1000023.jpg,1000023,20,3,0.33775477370053564,0
24,맛있는 닭고기 요리 25,맛있는 닭고기 요리 25,user_16,요리사70,1620,868,38,찌기,간편식,"닭고기, 양파, 마늘",볶음,맛있는 닭고기 요리 25 레시피,닭고기 300g,3인분,초급,20분,2025-08-25,https://example.com/recipe_1000024.jpg,1000024,20,1,0.07589311748096454,2
25,맛있는 계란 요리 26,맛있는 계란 요리 26,user_13,요리사26,38706,2506,529,굽기,간편식,"계란, 양파, 마늘",찌개,맛있는 계란 요리 26 레시피,계란 300g,2인분,초급,60분,2025-09-24,https://example.com/recipe_1000025.jpg,1000025,60,1,0.64345755106526,5
26,맛있는 닭고기 요리 27,맛있는 닭고기 요리 27,user_59,요리사49,36733,998,381,굽기,간편식,"닭고기, 양파, 마늘",샐러드,맛있는 닭고기 요리 27 레시피,닭고기 300g,3인분,초급,60분,2025-10-28,https://example.com/recipe_1000026.jpg,1000026,60,1,0.5036112109540667,3
27,맛있는 생선 요리 28,맛있는 생선 요리 28,user_12,요리사21,22230,3797,116,볶기,손님접대,"생선, 양파, 마늘",샐러드,맛있는 생선 요리 28 레시피,생선 300g,4인분,고급,20분,2025-12-11,https://example.com/recipe_1000027.jpg,1000027,20,3,0.47341883092984344,3
28,맛있는 두부 요리 29,맛있는 두부 요리 29,user_85,요리사11,1058,1519,304,찌기,손님접대,"두부, 양파, 마늘",일품,맛있는 두부 요리 29 레시피,두부 300g,4인분,중급,30분,2025-02-23,https://example.com/recipe_1000028.jpg,1000028,30,2,0.16258445928432486,4
29,맛있는 닭고기 요리 30,맛있는 닭고기 요리 30,user_88,요리사87,44513,2323,687,굽기,간편식,"닭고기, 양파, 마늘",일품,맛있는 닭고기 요리 30 레시피,닭고기 300g,4인분,중급,20분,2025-09-18,https://example.com/recipe_1000029.jpg,1000029,20,2,0.7221989332120669,4
30,맛있는 생선 요리 31,맛있는 생선 요리 31,user_94,요리사38,48719,633,917,찌기,일상,"생선, 양파, 마늘",찌개,맛있는 생선 요리 31 레시피,생선 300g,3인분,고급,10분,2025-03-18,https://example.com/recipe_1000030.jpg,1000030,10,3,0.7089192845219027,5
31,맛있는 소고기 요리 32,맛있는 소고기 요리 32,user_9,요리사68,16241,3906,165,찌기,일상,"소고기, 양파, 마늘",찌개,맛있는 소고기 요리 32 레시피,소고기 300g,3인분,고급,30분,2025-07-28,https://example.com/recipe_1000031.jpg,1000031,30,3,0.42985827121401454,5
32,맛있는 두부 요리 33,맛있는 두부 요리 33,user_25,요리사86,35286,3351,837,굽기,손님접대,"두부, 양파, 마늘",국/탕,맛있는 두부 요리 33 레시피,두부 300g,3인분,중급,20분,2025-09-22,https://example.com/recipe_1000032.jpg,1000032,20,2,0.721607580772057,0
33,맛있는 소고기 요리 34,맛있는 소고기 요리 34,user_37,요리사3,47871,2142,915,굽기,간편식,"소고기, 양파, 마늘",찌개,맛있는 소고기 요리 34 레시피,소고기 300g,2인분,고급,10분,2025-04-10,https://example.com/recipe_1000033.jpg,1000033,10,3,0.7905759999408808,5
34,맛있는 소고기 요리 35,맛있는 소고기 요리 35,user_73,요리사27,37363,1499,815,볶기,손님접대,"소고기, 양파, 마늘",찌개,맛있는 소고기 요리 35 레시피,소고기 300g,4인분,초급,30분,2025-01-13,https://example.com/recipe_1000034.jpg,1000034,30,1,0.6268602405694813,5
35,맛있는 닭고기 요리 36,맛있는 닭고기 요리 36,user_72,요리사75,38373,427,629,굽기,일상,"닭고기, 양파, 마늘",샐러드,맛있는 닭고기 요리 36 레시피,닭고기 300g,3인분,초급,60분,2025-05-31,https://example.com/recipe_1000035.jpg,1000035,60,1,0.5354064385002012,3
36,맛있는 소고기 요리 37,맛있는 소고기 요리 37,user_13,요리사74,39794,2216,574,굽기,간편식,"소고기, 양파, 마늘",일품,맛있는 소고기 요리 37 레시피,소고기 300g,2인분,초급,10분,2025-03-26,https://example.com/recipe_1000036.jpg,1000036,10,1,0.6459502605324249,4
37,맛있는 계란 요리 38,맛있는 계란 요리 38,user_72,요리사22,16772,1283,108,굽기,손님접대,"계란, 양파, 마늘",메인반찬,맛있는 계란 요리 38 레시피,계란 300g,2인분,고급,60분,2025-10-06,https://example.com/recipe_1000037.jpg,1000037,60,3,0.26637866581664793,1
38,맛있는 계란 요리 39,맛있는 계란 요리 39,user_76,요리사9,26426,4532,829,볶기,간편식,"계란, 양파, 마늘",찌개,맛있는 계란 요리 39 레시피,계란 300g,3인분,중급,60분,2025-08-18,https://example.com/recipe_1000038.jpg,1000038,60,2,0.7022358449248121,5
39,맛있는 두부 요리 40,맛있는 두부 요리 40,user_37,요리사20,35282,1596,801,찌기,일상,"두부, 양파, 마늘",샐러드,맛있는 두부 요리 40 레시피,두부 300g,4인분,고급,60분,2025-11-07,https://example.com/recipe_1000039.jpg,1000039,60,3,0.6090603599602243,3
40,맛있는 두부 요리 41,맛있는 두부 요리 41,user_42,요리사61,32500,2862,502,굽기,손님접대,"두부, 양파, 마늘",샐러드,맛있는 두부 요리 41 레시피,두부 300g,2인분,중급,20분,2025-07-03,https://example.com/recipe_1000040.jpg,1000040,20,2,0.5973310380832787,3
41,맛있는 두부 요리 42,맛있는 두부 요리 42,user_10,요리사94,7863,534,889,볶기,손님접대,"두부, 양파, 마늘",찌개,맛있는 두부 요리 42 레시피,두부 300g,4인분,중급,10분,2025-06-23,https://example.com/recipe_1000041.jpg,1000041,10,2,0.2886747212706975,5
42,맛있는 돼지고기 요리 43,맛있는 돼지고기 요리 43,user_92,요리사54,13629,4772,500,볶기,손님접대,"돼지고기, 양파, 마늘",찌개,맛있는 돼지고기 요리 43 레시피,돼지고기 300g,3인분,초급,10분,2025-03-13,https://example.com/recipe_1000042.jpg,1000042,10,1,0.5227564544605827,5
43,맛있는 소고기 요리 44,맛있는 소고기 요리 44,user_89,요리사36,3227,4894,178,찌기,일상,"소고기, 양파, 마늘",샐러드,맛있는 소고기 요리 44 레시피,소고기 300g,4인분,중급,60분,2025-06-18,https://example.com/recipe_1000043.jpg,1000043,60,2,0.3615566111673164,3
44,맛있는 계란 요리 45,맛있는 계란 요리 45,user_83,요리사50,35823,1118,54,굽기,간편식,"계란, 양파, 마늘",국/탕,맛있는 계란 요리 45 레시피,계란 300g,3인분,고급,10분,2025-04-29,https://example.com/recipe_1000044.jpg,1000044,10,3,0.4362426504362835,0
45,맛있는 생선 요리 46,맛있는 생선 요리 46,user_41,요리사70,41733,4321,237,찌기,손님접대,"생선, 양파, 마늘",메인반찬,맛있는 생선 요리 46 레시피,생선 300g,4인분,중급,60분,2025-08-24,https://example.com/recipe_1000045.jpg,1000045,60,2,0.7241793879072037,1
46,맛있는 소고기 요리 47,맛있는 소고기 요리 47,user_94,요리사8,3437,2652,795,찌기,손님접대,"소고기, 양파, 마늘",일품,맛있는 소고기 요리 47 레시피,소고기 300g,2인분,중급,30분,2025-10-10,https://example.com/recipe_1000046.jpg,1000046,30,2,0.3526608489336825,4
47,맛있는 닭고기 요리 48,맛있는 닭고기 요리 48,user_34,요리사49,28858,3556,33,굽기,일상,"닭고기, 양파, 마늘",국/탕,맛있는 닭고기 요리 48 레시피,닭고기 300g,2인분,고급,20분,2025-06-22,https://example.com/recipe_1000047.jpg,1000047,20,3,0.5086447571778009,0
48,맛있는 돼지고기 요리 49,맛있는 돼지고기 요리 49,user_8,요리사33,15563,4648,548,볶기,일상,"돼지고기, 양파, 마늘",샐러드,맛있는 돼지고기 요리 49 레시피,돼지고기 300g,2인분,초급,10분,2025-10-05,https://example.com/recipe_1000048.jpg,1000048,10,1,0.5442726419066566,3
49,맛있는 생선 요리 50,맛있는 생선 요리 50,user_21,요리사27,4308,2144,465,찌기,간편식,"생선, 양파, 마늘",샐러드,맛있는 생선 요리 50 레시피,생선 300g,2인분,중급,30분,2025-10-11,https://example.com/recipe_1000049.jpg,1000049,30,2,0.2648277452748349,3
50,맛있는 계란 요리 51,맛있는 계란 요리 51,user_42,요리사93,24557,676,323,볶기,손님접대,"계란, 양파, 마늘",국/탕,맛있는 계란 요리 51 레시피,계란 300g,4인분,초급,30분,2025-09-23,https://example.com/recipe_1000050.jpg,1000050,30,1,0.35087818686221184,0
51,맛있는 소고기 요리 52,맛있는 소고기 요리 52,user_9,요리사46,22410,2871,921,볶기,간편식,"소고기, 양파, 마늘",메인반찬,맛있는 소고기 요리 52 레시피,소고기 300g,2인분,고급,30분,2025-01-22,https://example.com/recipe_1000051.jpg,1000051,30,3,0.5808206042991554,1
52,맛있는 계란 요리 53,맛있는 계란 요리 53,user_5,요리사70,46030,1015,522,굽기,간편식,"계란, 양파, 마늘",국/탕,맛있는 계란 요리 53 레시피,계란 300g,3인분,중급,20분,2025-10-01,https://example.com/recipe_1000052.jpg,1000052,20,2,0.6258610597332823,0
53,맛있는 닭고기 요리 54,맛있는 닭고기 요리 54,user_86,요리사11,11707,4580,741,굽기,손님접대,"닭고기, 양파, 마늘",볶음,맛있는 닭고기 요리 54 레시피,닭고기 300g,3인분,초급,10분,2025-01-20,https://example.com/recipe_1000053.jpg,1000053,10,1,0.5402581656862433,2
54,맛있는 두부 요리 55,맛있는 두부 요리 55,user_37,요리사49,48561,4918,68,굽기,일상,"두부, 양파, 마늘",찌개,맛있는 두부 요리 55 레시피,두부 300g,2인분,고급,10분,2025-03-19,https://example.com/recipe_1000054.jpg,1000054,10,3,0.7944687771692225,5
55,맛있는 닭고기 요리 56,맛있는 닭고기 요리 56,user_10,요리사63,29054,2893,828,볶기,손님접대,"닭고기, 양파, 마늘",일품,맛있는 닭고기 요리 56 레시피,닭고기 300g,2인분,중급,10분,2025-02-03,https://example.com/recipe_1000055.jpg,1000055,10,2,0.629984582963613,4
56,맛있는 생선 요리 57,맛있는 생선 요리 57,user_96,요리사97,44875,257,775,굽기,간편식,"생선, 양파, 마늘",찌개,맛있는 생선 요리 57 레시피,생선 300g,4인분,고급,30분,2025-06-27,https://example.com/recipe_1000056.jpg,1000056,30,3,0.6194777820482988,5
57,맛있는 소고기 요리 58,맛있는 소고기 요리 58,user_71,요리사88,35203,3655,616,굽기,간편식,"소고기, 양파, 마늘",국/탕,맛있는 소고기 요리 58 레시피,소고기 300g,3인분,초급,30분,2025-09-17,https://example.com/recipe_1000057.jpg,1000057,30,1,0.6947730542318322,0
58,맛있는 두부 요리 59,맛있는 두부 요리 59,user_96,요리사100,22869,3662,311,볶기,일상,"두부, 양파, 마늘",국/탕,맛있는 두부 요리 59 레시피,두부 300g,4인분,중급,30분,2025-10-14,https://example.com/recipe_1000058.jpg,1000058,30,2,0.5107500433078177,0
59,맛있는 닭고기 요리 60,맛있는 닭고기 요리 60,user_75,요리사88,16656,2194,485,볶기,손님접대,"닭고기, 양파, 마늘",샐러드,맛있는 닭고기 요리 60 레시피,닭고기 300g,2인분,고급,60분,2025-11-08,https://example.com/recipe_1000059.jpg,1000059,60,3,0.39535374675798185,3
60,맛있는 소고기 요리 61,맛있는 소고기 요리 61,user_11,요리사40,4097,2161,128,볶기,간편식,"소고기, 양파, 마늘",샐러드,맛있는 소고기 요리 61 레시피,소고기 300g,4인분,초급,60분,2025-10-31,https://example.com/recipe_1000060.jpg,1000060,60,1,0.19626956016336847,3
61,맛있는 소고기 요리 62,맛있는 소고기 요리 62,user_59,요리사71,19813,2929,861,굽기,손님접대,"소고기, 양파, 마늘",볶음,맛있는 소고기 요리 62 레시피,소고기 300g,4인분,초급,10분,2025-09-28,https://example.com/recipe_1000061.jpg,1000061,10,1,0.5463097594839903,2
62,맛있는 닭고기 요리 63,맛있는 닭고기 요리 63,user_98,요리사48,13051,2559,484,굽기,일상,"닭고기, 양파, 마늘",일품,맛있는 닭고기 요리 63 레시피,닭고기 300g,3인분,고급,20분,2025-08-03,https://example.com/recipe_1000062.jpg,1000062,20,3,0.38099128538898425,4
63,맛있는 닭고기 요리 64,맛있는 닭고기 요리 64,user_14,요리사57,6109,2159,96,볶기,간편식,"닭고기, 양파, 마늘",메인반찬,맛있는 닭고기 요리 64 레시피,닭고기 300g,2인분,중급,10분,2024-12-22,https://example.com/recipe_1000063.jpg,1000063,10,2,0.20986999688362512,1
64,맛있는 닭고기 요리 65,맛있는 닭고기 요리 65,user_22,요리사32,26584,1338,289,굽기,손님접대,"닭고기, 양파, 마늘",일품,맛있는 닭고기 요리 65 레시피,닭고기 300g,4인분,고급,30분,2025-11-01,https://example.com/recipe_1000064.jpg,1000064,30,3,0.404068274199414,4
65,맛있는 닭고기 요리 66,맛있는 닭고기 요리 66,user_23,요리사11,15698,2121,354,굽기,간편식,"닭고기, 양파, 마늘",국/탕,맛있는 닭고기 요리 66 레시피,닭고기 300g,3인분,초급,30분,2025-04-20,https://example.com/recipe_1000065.jpg,1000065,30,1,0.35516426222393094,0
66,맛있는 두부 요리 67,맛있는 두부 요리 67,user_77,요리사90,18023,1849,401,찌기,간편식,"두부, 양파, 마늘",샐러드,맛있는 두부 요리 67 레시피,두부 300g,2인분,중급,60분,2025-07-12,https://example.com/recipe_1000066.jpg,1000066,60,2,0.37151157932195444,3
67,맛있는 닭고기 요리 68,맛있는 닭고기 요리 68,user_89,요리사95,42489,2175,740,찌기,일상,"닭고기, 양파, 마늘",볶음,맛있는 닭고기 요리 68 레시피,닭고기 300g,4인분,고급,20분,2025-12-13,https://example.com/recipe_1000067.jpg,1000067,20,3,0.7036826598821377,2
68,맛있는 생선 요리 69,맛있는 생선 요리 69,user_83,요리사81,4315,415,143,굽기,손님접대,"생선, 양파, 마늘",일품,맛있는 생선 요리 69 레시피,생선 300g,2인분,고급,20분,2025-03-01,https://example.com/recipe_1000068.jpg,1000068,20,3,0.09669330461846518,4
69,맛있는 소고기 요리 70,맛있는 소고기 요리 70,user_78,요리사81,40684,3552,652,볶기,손님접대,"소고기, 양파, 마늘",볶음,맛있는 소고기 요리 70 레시피,소고기 300g,3인분,중급,60분,2025-03-25,https://example.com/recipe_1000069.jpg,1000069,60,2,0.7506289031772304,2
70,맛있는 소고기 요리 71,맛있는 소고기 요리 71,user_85,요리사84,15002,552,558,찌기,일상,"소고기, 양파, 마늘",일품,맛있는 소고기 요리 71 레시피,소고기 300g,3인분,고급,10분,2025-03-16,https://example.com/recipe_1000070.jpg,1000070,10,3,0.2949027358599221,4
71,맛있는 소고기 요리 72,맛있는 소고기 요리 72,user_13,요리사60,14155,2763,484,볶기,일상,"소고기, 양파, 마늘",샐러드,맛있는 소고기 요리 72 레시피,소고기 300g,3인분,중급,20분,2025-11-07,https://example.com/recipe_1000071.jpg,1000071,20,2,0.40427504026564226,3
72,맛있는 두부 요리 73,맛있는 두부 요리 73,user_20,요리사89,35315,1538,286,볶기,손님접대,"두부, 양파, 마늘",국/탕,맛있는 두부 요리 73 레시피,두부 300g,4인분,고급,10분,2025-02-20,https://example.com/recipe_1000072.jpg,1000072,10,3,0.5028073690952821,0
73,맛있는 두부 요리 74,맛있는 두부 요리 74,user_24,요리사25,49886,785,469,굽기,손님접대,"두부, 양파, 마늘",볶음,맛있는 두부 요리 74 레시피,두부 300g,4인분,고급,60분,2025-10-30,https://example.com/recipe_1000073.jpg,1000073,60,3,0.6400235639817238,2
74,맛있는 생선 요리 75,맛있는 생선 요리 75,user_36,요리사66,29992,3239,759,굽기,간편식,"생선, 양파, 마늘",일품,맛있는 생선 요리 75 레시피,생선 300g,2인분,초급,20분,2025-01-17,https://example.com/recipe_1000074.jpg,1000074,20,1,0.646313959434496,4
75,맛있는 두부 요리 76,맛있는 두부 요리 76,user_76,요리사49,31705,3883,135,굽기,손님접대,"두부, 양파, 마늘",찌개,맛있는 두부 요리 76 레시피,두부 300g,2인분,고급,30분,2025-05-15,https://example.com/recipe_1000075.jpg,1000075,30,3,0.5771648606904725,5
76,맛있는 두부 요리 77,맛있는 두부 요리 77,user_14,요리사97,12580,1688,196,볶기,간편식,"두부, 양파, 마늘",볶음,맛있는 두부 요리 77 레시피,두부 300g,4인분,고급,10분,2025-07-09,https://example.com/recipe_1000076.jpg,1000076,10,3,0.26636202578666535,2
77,맛있는 돼지고기 요리 78,맛있는 돼지고기 요리 78,user_28,요리사33,33460,4449,496,볶기,일상,"돼지고기, 양파, 마늘",메인반찬,맛있는 돼지고기 요리 78 레시피,돼지고기 300g,2인분,중급,60분,2025-02-25,https://example.com/recipe_1000077.jpg,1000077,60,2,0.700953101992215,1
78,맛있는 계란 요리 79,맛있는 계란 요리 79,user_88,요리사91,32303,2956,662,찌기,일상,"계란, 양파, 마늘",일품,맛있는 계란 요리 79 레시피,계란 300g,4인분,고급,60분,2025-08-30,https://example.com/recipe_1000078.jpg,1000078,60,3,0.6330324000875012,4
79,맛있는 계란 요리 80,맛있는 계란 요리 80,user_33,요리사32,6463,99,782,찌기,간편식,"계란, 양파, 마늘",일품,맛있는 계란 요리 80 레시피,계란 300g,4인분,중급,30분,2025-03-07,https://example.com/recipe_1000079.jpg,1000079,30,2,0.22714853823032566,4
80,맛있는 생선 요리 81,맛있는 생선 요리 81,user_97,요리사87,28362,2244,898,굽기,일상,"생선, 양파, 마늘",볶음,맛있는 생선 요리 81 레시피,생선 300g,4인분,초급,10분,2025-12-06,https://example.com/recipe_1000080.jpg,1000080,10,1,0.5981362433774029,2
81,맛있는 닭고기 요리 82,맛있는 닭고기 요리 82,user_52,요리사64,14739,2324,384,찌기,간편식,"닭고기, 양파, 마늘",메인반찬,맛있는 닭고기 요리 82 레시피,닭고기 300g,3인분,고급,10분,2025-02-11,https://example.com/recipe_1000081.jpg,1000081,10,3,0.36375700652095583,1
82,맛있는 닭고기 요리 83,맛있는 닭고기 요리 83,user_29,요리사91,27721,4319,954,찌기,손님접대,"닭고기, 양파, 마늘",볶음,맛있는 닭고기 요리 83 레시피,닭고기 300g,4인분,초급,10분,2025-06-28,https://example.com/recipe_1000082.jpg,1000082,10,1,0.7274352744473662,2
83,맛있는 계란 요리 84,맛있는 계란 요리 84,user_83,요리사84,7118,3469,373,굽기,간편식,"계란, 양파, 마늘",일품,맛있는 계란 요리 84 레시피,계란 300g,3인분,고급,10분,2024-12-27,https://example.com/recipe_1000083.jpg,1000083,10,3,0.35401888410588134,4
84,맛있는 생선 요리 85,맛있는 생선 요리 85,user_42,요리사28,32101,4040,384,찌기,손님접대,"생선, 양파, 마늘",일품,맛있는 생선 요리 85 레시피,생선 300g,3인분,초급,60분,2024-12-22,https://example.com/recipe_1000084.jpg,1000084,60,1,0.6403960573982541,4
85,맛있는 생선 요리 86,맛있는 생선 요리 86,user_17,요리사40,3931,199,241,굽기,간편식,"생선, 양파, 마늘",일품,맛있는 생선 요리 86 레시피,생선 300g,2인분,초급,20분,2025-09-15,https://example.com/recipe_1000085.jpg,1000085,20,1,0.09951161819402982,4
86,맛있는 계란 요리 87,맛있는 계란 요리 87,user_64,요리사76,7051,1403,472,굽기,손님접대,"계란, 양파, 마늘",메인반찬,맛있는 계란 요리 87 레시피,계란 300g,3인분,초급,10분,2025-01-19,https://example.com/recipe_1000086.jpg,1000086,10,1,0.24920847604822277,1
87,맛있는 생선 요리 88,맛있는 생선 요리 88,user_10,요리사15,2121,3406,430,볶기,일상,"생선, 양파, 마늘",국/탕,맛있는 생선 요리 88 레시피,생선 300g,2인분,고급,30분,2024-12-24,https://example.com/recipe_1000087.jpg,1000087,30,3,0.31166329993879605,0
88,맛있는 두부 요리 89,맛있는 두부 요리 89,user_79,요리사24,15427,3027,655,찌기,간편식,"두부, 양파, 마늘",찌개,맛있는 두부 요리 89 레시피,두부 300g,3인분,중급,60분,2025-04-09,https://example.com/recipe_1000088.jpg,1000088,60,2,0.4670736007708086,5
89,맛있는 생선 요리 90,맛있는 생선 요리 90,user_62,요리사26,29785,4911,221,볶기,간편식,"생선, 양파, 마늘",일품,맛있는 생선 요리 90 레시피,생선 300g,2인분,중급,30분,2025-04-19,https://example.com/recipe_1000089.jpg,1000089,30,2,0.6368555476874148,4
